Track Name,Popularity,singer_gender_type
Aasa Kooda - From Think Indie,78,Duet
Aasa Orave,59,Male
Achacho - From Aranmanai 4,67,Female
Adangaatha Asuran,61,Male
Arakkonam Style,37,Male
Badass,60,Male
Bloody Sweet,54,Male
Chillanjirukkiye,61,Male
Chinna Chinna Kangal,46,Male
Clean Shot,55,Male
Delta Kalyanam,45,Male
Dheema (From Love Insurance Kompany),68,Male
Dippam Dappam (From Kaathuvaakula Rendu Kaadhal),67,Male
Ezhutha Kadhaiyo,62,Male
Fear Song [TAMIL],55,Male
Golden Sparrow (From Nilavuku En Mel Ennadi Kobam),73,Male
Hayyoda,56,Duet
Hey Minnale (From Amaran) (Tamil),71,Duet
Hukum - Thalaivar Alappara,67,Male
Hunter Vantaar,59,Male
I'm Scared (From Leo),57,Male
Jujubee,60,Duet
Kaathu Mela - From Think Indie,62,Male
Kaavaalaa,58,Duet
Kadharalz,59,Male
Kangal Edho,56,Duet
Katchi Sera - From Think Indie,74,Male
Kolladhey,51,Female
Maamadura,56,Female
Makkamishi - From Brother,64,Male
Manasilaayo,63,Duet
Matta,60,Male
Minikki Minikki,58,Female
Naa Ready,65,Male
Oh Raaya,53,Male
Ordinary Person (From Leo),66,Male
Paaraa,47,Male
Paiya Dei - From Think Indie,70,Male
Paththavaikkum,49,Duet
Railin Oligal,51,Female
Soodaana,54,Female
Spark,47,Male
Thaensudare - From Lover,64,Duet
Unakku Thaan,65,Male
Usura Uruvi,54,Male
Uyirey (From Amaran) (Tamil),61,Duet
Vennilavu Saaral (From Amaran) (Tamil),58,Duet
Water Packet,58,Duet
Whistle Podu,48,Male
Yaaro Ivan Yaaro,53,Male
