Track Name,Popularity,singer_gender_type
Aaruyire,70,Duet
Adi Penne (Duet) - From Naam Series,67,Duet
Adiye - From Bachelor,71,Male
Anbae Anbae,62,Male
Arabic Kuthu - Halamithi Habibo (From Beast),70,Duet
Bae (From Don),64,Male
Beast Mode (From Beast),64,Male
Dippam Dappam (From Kaathuvaakula Rendu Kaadhal),67,Male
Enakenna Yaarum Illaye (From Aakko),63,Male
Enkeyoo Partha,70,Male
Hukum - Thalaivar Alappara - Tamil (From Jailer),67,Male
Jimikki Ponnu,66,Duet
Kaattrae En Vaasal - Wind,64,Duet
Kadhal Sadugudu,66,Male
Katchi Sera - From Think Indie,74,Male
Lokiverse - Background Score,65,Male
Maari Thara Local - Here Comes Maari,68,Male
Mallipoo,65,Male
Mayakkama Kalakkama (From Thiruchitrambalam),65,Male
Megham Karukatha (From Thiruchitrambalam),65,Male
Melliname,68,Male
Minnalai Pidithu,67,Male
Naa Ready (From Leo),69,Male
Oh Penne,68,Male
Once Upon a Time,62,Male
Ordinary Person (From Leo),66,Male
Oru Maalai,65,Male
Otha Sollaala,70,Male
Pachai Nirame,63,Male
Poongatrile,64,Duet
Ranjithame (From Varisu),66,Duet
Rendu Kaadhal (From Kaathuvaakula Rendu Kaadhal),63,Duet
Thee Thalapathy (From Varisu),63,Male
Thenmozhi (From Thiruchitrambalam),64,Male
Vaa Vaathi,68,Female
Vaathi Coming,66,Male
Vikram - Title Track,64,Male
Yaanji - From Vikram Vedha,71,Duet
