Track Name,Popularity,singer_gender_type
Aagasam (From Soorarai Pottru),41,Male
Anbae Peranbae,66,Duet
Andha Kanna Paathaakaa,61,Male
Azhage,64,Duet
Bujji (From Jagame Thandhiram),55,Male
Chellamma (From Doctor),61,Duet
Dharala Prabhu Title Track,52,Male
Dhom Dhom - From Naan Sirithal,47,Male
Gaandu Kannamma,59,Male
Haiyo Haiyo (From Oh My Kadavule),37,Male
Hey Amigo,50,Female
Hi Sonna Pothum (From Comali),63,Male
Ilamai Thirumbudhe - From Petta,62,Male
Jigidi Killaadi,0,Male
Kaattu Payale (From Soorarai Pottru),58,Female
Kadhal Oru Aagayam,67,male
Kanave Kanave,70,Male
Kannala Kannala - The Melting Point of Love,71,Duet
Kannamma,68,Male
Kutti Story (From Master),51,Male
Marana Mass - From Petta,63,Male
Maruvaarthai,0,Male
Master the Blaster (From Master),57,Male
Mudhal Nee Mudivum Nee Title Track (From Mudhal Nee Mudivum Nee),69,Male
Neeyum Naanum Anbe,71,Male
Orasaadha - Madras Gig,69,Male
Oru Manam (From Dhruva Natchathiram),59,Male
Othaiyadi Pathayila,69,Male
Oxygen,0,Male
Paisa Note (From Comali),53,Male
Pakkam Neeyum Illai,24,Male
Pallikoodam - The Farewell Song,52,Male
Poraada Poraada,46,Male
Quit Pannuda,54,Male
Rakita Rakita Rakita (From Jagame Thandhiram),57,Duet
Sandakari Neethan (From Sangathamizhan),57,Duet
Takkunu Takkunu - From Mr. Local,65,Male
Thaarame Thaarame,0,Male
Theendum Dhooram,12,Male
Thumbi Thullal (From Cobra),48,Duet
Unakaga,60,Male
Unna Nenachu (From Psycho (Tamil)),61,Male
Vaathi Coming,66,Male
Veyyon Silli (From Soorarai Pottru),52,Male
Vilambara Idaiveli - From Imaikkaa Nodigal,62,Duet
Yaar Azhaippadhu - From Maara,56,Male
Yaen Ennai Pirindhaai,55,Male
Yennai Maatrum Kadhale,0,Male
